id;hospital_id;full_name;date_of_birth;estimated_age;sex;sex_estimated;phone;email;identity_document_type;identity_document_number;occupation;marital_status;next_of_kin_name;next_of_kin_phone;next_of_kin_relationship;known_allergies;known_conditions;village_estate;registration_status
1;drat gloom rear;absent blah;2026-09-23;29;FEMALE;true;952-383-2701 x86322;Mason.Lebsack@yahoo.com;PASSPORT;strait;moment mill reproachfully;yet ah;yippee;whether hmph;PARENT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;defiantly;INCOMPLETE_REGISTRATION
2;trash foodstuffs;meh;2026-09-23;83;UNKNOWN;false;800-661-6524;Jennifer1@hotmail.com;PASSPORT;worst hm mmm;physically;and;what;oh now;OTHER_RELATIVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;wholly devise;INCOMPLETE_REGISTRATION
3;energetically those;describe;2026-09-24;11;FEMALE;false;879.939.7354 x212;Yasmin.Becker@gmail.com;NATIONAL_ID;accelerator pendant meaty;madly pretend below;wing squeaky ravel;cleverly pace;championship confirm;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;though;INCOMPLETE_REGISTRATION
4;doorpost bid amongst;owlishly;2026-09-23;139;UNKNOWN;false;(840) 255-4259 x0081;Maye.Blanda77@gmail.com;NATIONAL_ID;hopelessly noisily remark;huzzah;serenade nor part;partially;hmph for;OTHER_RELATIVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;chromakey understanding;COMPLETE
5;finally that presume;separately embed;2026-09-23;96;FEMALE;true;(257) 208-1625 x96655;Kadin54@gmail.com;NATIONAL_ID;remark lone;finally;meh rubbery pinion;boohoo about;even oh indeed;LEGAL_GUARDIAN;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;vice pfft bulky;INCOMPLETE_REGISTRATION
6;yet;whereas memorable or;2026-09-24;52;MALE;true;965.913.7387;Jonathan52@hotmail.com;PASSPORT;untimely inventory questioningly;bowler whose if;blah dredger agitated;serenade than down;gadzooks advocate;OTHER_RELATIVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rapidly decent;MERGED
7;instead per;confusion after tenement;2026-09-24;75;UNKNOWN;true;470.299.8317 x54676;Jacquelyn60@yahoo.com;PASSPORT;circa;electronics;if;entice;little;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;scented;COMPLETE
8;soup underneath;rekindle ajar;2026-09-23;72;OTHER;true;898-614-3891;Yvonne.Beahan@hotmail.com;BIRTH_CERTIFICATE;vast;clavicle;needily battle;hepatitis as;hoot;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;thankfully;INCOMPLETE_REGISTRATION
9;guide tarragon more;barge pasta;2026-09-23;121;OTHER;false;1-399-953-6420 x27149;Amya_Shields@hotmail.com;NATIONAL_ID;massage meh understanding;vainly midst meanwhile;cycle;unexpectedly dearly sharply;vet indeed gazebo;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;until meh dense;COMPLETE
10;against among;unripe;2026-09-23;114;FEMALE;true;494.352.7066 x0586;Anne34@yahoo.com;BIRTH_CERTIFICATE;puzzled drat;pish cutlet lest;remand toward;smooth;unto midst boohoo;OTHER_RELATIVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;astonishing who phew;COMPLETE
