id;total_owed;agreed_at;guarantor_name;guarantor_relationship;guarantor_phone;notes;status;bill_id;agreed_by_id
1;26180.81;2026-09-25T10:33:47;lovable;kaleidoscopic;minus;into;COMPLETED;1;1
2;10024.45;2026-09-25T11:46:45;unless;almost;authentic oof;enraged daily forenenst;DEFAULTED;2;2
3;7899.05;2026-09-24T23:34:36;woot fair;aha;though kindly;phooey huff expostulate;COMPLETED;3;2
4;23509;2026-09-25T06:55:12;ride;minus yowza separately;yippee once;up;ACTIVE;4;1
5;29210.32;2026-09-24T16:27:15;why;front abaft;redress overcoat bleakly;unfortunately fiddle;COMPLETED;5;1
6;10305.27;2026-09-25T07:41:10;viability mechanically mom;recede unimpressively hence;outbid jagged;since louse dense;DEFAULTED;6;1
7;16245.98;2026-09-25T12:17:27;soap availability;bicycle;knottily;ripe;COMPLETED;7;2
8;5589.99;2026-09-24T15:44:12;necessary oblong;ugh regarding celebrated;outfox;emergent duh;ACTIVE;8;1
9;2255.87;2026-09-25T10:23:27;bravely misguided bookend;cross tinderbox;supposing notwithstanding sympat;following;ACTIVE;9;2
10;7867.12;2026-09-24T21:10:47;recovery;fiercely;yum;energetic complicated;DEFAULTED;10;2
